bag_id,mae,true_prev_class_0,true_prev_class_1,true_prev_class_2,pred_prev_class_0,pred_prev_class_1,pred_prev_class_2
0,0.020623317,0.27,0.53,0.2,0.300935,0.5202185,0.17884652
1,0.034937438,0.27,0.53,0.2,0.3224062,0.48857227,0.18902159
2,0.04515777,0.27,0.53,0.2,0.3088961,0.46226335,0.2288406
3,0.0012235692,0.27,0.53,0.2,0.2718354,0.5298819,0.19828275
4,0.033606056,0.27,0.53,0.2,0.32040912,0.48828816,0.19130275
5,0.037113205,0.27,0.53,0.2,0.2416727,0.50265753,0.25566986
6,0.010508652,0.27,0.53,0.2,0.28576303,0.5253126,0.18892443
7,0.0137761235,0.27,0.53,0.2,0.29066426,0.51512897,0.19420688
8,0.014157002,0.27,0.53,0.2,0.26786736,0.51089716,0.22123554
9,0.018856307,0.27,0.53,0.2,0.29828447,0.5123554,0.18936013
10,0.010580461,0.27,0.53,0.2,0.28366974,0.53220093,0.18412931
11,0.01684534,0.27,0.53,0.2,0.295268,0.5220887,0.18264323
12,0.022681609,0.27,0.53,0.2,0.25532442,0.56402236,0.18065315
13,0.011092082,0.27,0.53,0.2,0.28045312,0.5133619,0.20618504
14,0.02108576,0.27,0.53,0.2,0.30162862,0.5188645,0.1795068
15,0.017217001,0.27,0.53,0.2,0.29582548,0.52063316,0.18354128
16,0.0033260037,0.27,0.53,0.2,0.27185854,0.525011,0.20313051
17,0.012437925,0.27,0.53,0.2,0.2513431,0.5396573,0.20899954
18,0.021753555,0.27,0.53,0.2,0.3026303,0.51148313,0.18588647
19,0.009666185,0.27,0.53,0.2,0.2844993,0.5207075,0.19479321
20,0.011563827,0.27,0.53,0.2,0.2873458,0.51469916,0.19795512
21,0.022258068,0.27,0.53,0.2,0.3033871,0.5172992,0.17931369
22,0.021646395,0.27,0.53,0.2,0.3024696,0.52753997,0.16999042
23,0.026485234,0.27,0.53,0.2,0.3037266,0.49027213,0.20600127
24,0.018402526,0.27,0.53,0.2,0.29760382,0.5223656,0.18003057
25,0.016586393,0.27,0.53,0.2,0.26331735,0.5548796,0.18180312
26,0.0139524,0.27,0.53,0.2,0.2909286,0.5165857,0.19248566
27,0.018439442,0.27,0.53,0.2,0.29765922,0.52576077,0.17658009
28,0.013757189,0.27,0.53,0.2,0.29063582,0.5277271,0.1816371
29,0.015812293,0.27,0.53,0.2,0.29105622,0.5326622,0.17628157
30,0.008776684,0.27,0.53,0.2,0.27570105,0.53746396,0.18683498
31,0.010972932,0.27,0.53,0.2,0.2590058,0.52453476,0.2164594
32,0.031821176,0.27,0.53,0.2,0.22226824,0.55431056,0.22342117
33,0.02216123,0.27,0.53,0.2,0.30324185,0.5132668,0.18349132
34,0.02130729,0.27,0.53,0.2,0.30196095,0.515895,0.18214403
35,0.022047907,0.27,0.53,0.2,0.30307186,0.50201124,0.19491686
36,0.0103137,0.27,0.53,0.2,0.27066335,0.5448072,0.18452947
37,0.015865967,0.27,0.53,0.2,0.29379898,0.52632767,0.17987338
38,0.016825045,0.27,0.53,0.2,0.29523757,0.5072139,0.19754851
39,0.014610991,0.27,0.53,0.2,0.2919165,0.5147066,0.19337687
40,0.002139012,0.27,0.53,0.2,0.26679152,0.5323908,0.20081775
41,0.0144080175,0.27,0.53,0.2,0.28924134,0.5323706,0.17838794
42,0.0160871,0.27,0.53,0.2,0.2727062,0.5058693,0.22142446
43,0.025798569,0.27,0.53,0.2,0.30869788,0.51400393,0.1772982
44,0.020338839,0.27,0.53,0.2,0.3005083,0.52404356,0.17544818
45,0.025540298,0.27,0.53,0.2,0.30831045,0.50237167,0.18931785
46,0.0062007806,0.27,0.53,0.2,0.27263755,0.52069885,0.20666368
47,0.027586192,0.27,0.53,0.2,0.3094784,0.4886207,0.20190091
48,0.017248452,0.27,0.53,0.2,0.28625026,0.5396224,0.17412736
49,0.010844663,0.27,0.53,0.2,0.2587101,0.546267,0.19502294
50,0.014035885,0.27,0.53,0.2,0.2752932,0.5089461,0.21576062
51,0.013701384,0.27,0.53,0.2,0.29055208,0.52165455,0.18779334
52,0.02620677,0.27,0.53,0.2,0.30931017,0.5076638,0.18302603
53,0.015583922,0.27,0.53,0.2,0.24927658,0.52734756,0.22337593
54,0.033223927,0.27,0.53,0.2,0.27323535,0.4801641,0.24660058
55,0.01497829,0.27,0.53,0.2,0.29246742,0.5248847,0.18264781
56,0.010566969,0.27,0.53,0.2,0.2838358,0.53201467,0.18414958
57,0.023803508,0.27,0.53,0.2,0.30570525,0.52459455,0.16970015
58,0.020502055,0.27,0.53,0.2,0.30075312,0.52750725,0.17173967
59,0.013704717,0.27,0.53,0.2,0.27980077,0.5094429,0.21075635
60,0.022691369,0.27,0.53,0.2,0.30403706,0.51693815,0.17902477
61,0.0219224,0.27,0.53,0.2,0.30288365,0.5014892,0.1956272
62,0.017142946,0.27,0.53,0.2,0.29571444,0.52313954,0.18114603
63,0.016701424,0.27,0.53,0.2,0.2585642,0.5550521,0.18638366
64,0.009725367,0.27,0.53,0.2,0.25541195,0.5346907,0.20989734
65,0.03475702,0.27,0.53,0.2,0.25322014,0.49464434,0.25213557
