bag_id,mae,true_prev_class_0,true_prev_class_1,true_prev_class_2,pred_prev_class_0,pred_prev_class_1,pred_prev_class_2
0,0.095250726,0.27,0.53,0.2,0.35373825,0.3871239,0.25913787
1,0.113699876,0.27,0.53,0.2,0.386172,0.35945016,0.25437784
2,0.13851434,0.27,0.53,0.2,0.4275718,0.32222852,0.25019976
3,0.07396386,0.27,0.53,0.2,0.3809458,0.47830915,0.14074503
4,0.12775369,0.27,0.53,0.2,0.42882103,0.33836946,0.23280956
5,0.13953488,0.27,0.53,0.2,0.41431633,0.32069767,0.264986
6,0.11648043,0.27,0.53,0.2,0.3615572,0.35527933,0.28316346
7,0.1353357,0.27,0.53,0.2,0.47300354,0.39750084,0.12949558
8,0.1449549,0.27,0.53,0.2,0.39344352,0.31256765,0.29398885
9,0.14438246,0.27,0.53,0.2,0.46875232,0.3134263,0.21782139
10,0.11306427,0.27,0.53,0.2,0.42065844,0.3604036,0.21893802
11,0.11183838,0.27,0.53,0.2,0.4377576,0.37298414,0.18925828
12,0.015049487,0.27,0.53,0.2,0.24742578,0.541659,0.21091521
13,0.060887042,0.27,0.53,0.2,0.26296005,0.44570938,0.29133058
14,0.107738614,0.27,0.53,0.2,0.43160796,0.42760718,0.14078489
15,0.06563257,0.27,0.53,0.2,0.36844888,0.457319,0.17423216
16,0.08044601,0.27,0.53,0.2,0.32070798,0.40933096,0.26996106
17,0.10480622,0.27,0.53,0.2,0.38477948,0.37279066,0.2424299
18,0.11579134,0.27,0.53,0.2,0.3569448,0.356313,0.28674227
19,0.08542067,0.27,0.53,0.2,0.34714282,0.40186897,0.25098822
20,0.06574584,0.27,0.53,0.2,0.3686188,0.46297312,0.16840811
21,0.15662487,0.27,0.53,0.2,0.5049373,0.3744857,0.120576926
22,0.13209073,0.27,0.53,0.2,0.44776782,0.33186388,0.22036828
23,0.08791319,0.27,0.53,0.2,0.4018698,0.4197538,0.17837638
24,0.07593087,0.27,0.53,0.2,0.3703183,0.41610366,0.21357803
25,0.031902295,0.27,0.53,0.2,0.30736384,0.48214653,0.21048962
26,0.1330484,0.27,0.53,0.2,0.4282246,0.33042738,0.24134804
27,0.10528314,0.27,0.53,0.2,0.42464375,0.37207526,0.20328097
28,0.09404298,0.27,0.53,0.2,0.3406613,0.38893554,0.2704032
29,0.054112334,0.27,0.53,0.2,0.3511685,0.47170568,0.1771258
30,0.119175315,0.27,0.53,0.2,0.32535037,0.351237,0.3234126
31,0.1217849,0.27,0.53,0.2,0.2693189,0.34800375,0.38267738
32,0.10033691,0.27,0.53,0.2,0.3353823,0.37949467,0.2851231
33,0.15268733,0.27,0.53,0.2,0.4672028,0.30096897,0.23182821
34,0.1420672,0.27,0.53,0.2,0.4203291,0.31689918,0.26277173
35,0.121688284,0.27,0.53,0.2,0.3829117,0.3474675,0.2696207
36,0.03775346,0.27,0.53,0.2,0.2640942,0.47927558,0.25663018
37,0.054407272,0.27,0.53,0.2,0.2995355,0.44838908,0.25207543
38,0.03828414,0.27,0.53,0.2,0.32742625,0.4779473,0.1946265
39,0.098048486,0.27,0.53,0.2,0.33704594,0.38292724,0.2800268
40,0.08104221,0.27,0.53,0.2,0.33144757,0.4084367,0.26011577
41,0.08664894,0.27,0.53,0.2,0.39997342,0.43693548,0.1630911
42,0.20493485,0.27,0.53,0.2,0.49006367,0.22259772,0.2873386
43,0.09143111,0.27,0.53,0.2,0.38268074,0.3928533,0.22446592
44,0.17260249,0.27,0.53,0.2,0.5289037,0.28514692,0.18594927
45,0.14618549,0.27,0.53,0.2,0.45441204,0.31072176,0.23486622
46,0.026942074,0.27,0.53,0.2,0.28067666,0.4895869,0.22973649
47,0.13831472,0.27,0.53,0.2,0.38079947,0.3225279,0.2966726
48,0.073986076,0.27,0.53,0.2,0.36673987,0.41902086,0.21423925
49,0.0691871,0.27,0.53,0.2,0.33014035,0.4262193,0.2436403
50,0.058315847,0.27,0.53,0.2,0.3439557,0.4425262,0.21351808
51,0.09396788,0.27,0.53,0.2,0.40451407,0.3890482,0.2064378
52,0.15503722,0.27,0.53,0.2,0.44992158,0.29744413,0.25263426
53,0.10768324,0.27,0.53,0.2,0.22888331,0.4095918,0.36152485
54,0.1191814,0.27,0.53,0.2,0.4487721,0.35583055,0.1953973
55,0.061382607,0.27,0.53,0.2,0.36207393,0.44028962,0.19763646
56,0.0843127,0.27,0.53,0.2,0.39646906,0.47949183,0.12403908
57,0.059735447,0.27,0.53,0.2,0.35960317,0.45237926,0.18801753
58,0.12128661,0.27,0.53,0.2,0.45192996,0.3498891,0.198181
59,0.10433396,0.27,0.53,0.2,0.30787092,0.37349907,0.31863004
60,0.073262066,0.27,0.53,0.2,0.37989312,0.4337274,0.18637948
61,0.07828234,0.27,0.53,0.2,0.36514226,0.41257653,0.22228134
62,0.117174305,0.27,0.53,0.2,0.36172095,0.35423854,0.28404054
63,0.031688403,0.27,0.53,0.2,0.23500504,0.5174624,0.24753264
64,0.09691181,0.27,0.53,0.2,0.3471089,0.3846323,0.26825884
65,0.15855171,0.27,0.53,0.2,0.3011198,0.2921724,0.40670776
66,0.081491366,0.27,0.53,0.2,0.32194045,0.4077629,0.2702966
67,0.15380599,0.27,0.53,0.2,0.41734317,0.29929098,0.28336582
68,0.152665,0.27,0.53,0.2,0.45898715,0.30100244,0.24001037
69,0.10692841,0.27,0.53,0.2,0.3670744,0.3696074,0.26331824
70,0.085134484,0.27,0.53,0.2,0.36813593,0.40229824,0.2295658
71,0.19235581,0.27,0.53,0.2,0.42240345,0.2414663,0.3361303
