bag_id,mae,true_prev_class_0,true_prev_class_1,true_prev_class_2,pred_prev_class_0,pred_prev_class_1,pred_prev_class_2
0,0.098159395,0.27,0.53,0.2,0.41723913,0.45085767,0.13190326
1,0.34193376,0.27,0.53,0.2,0.4442454,0.017099349,0.5386552
2,0.1406728,0.27,0.53,0.2,0.41310444,0.31899077,0.26790476
3,0.26723406,0.27,0.53,0.2,0.54179513,0.12914883,0.32905594
4,0.064490475,0.27,0.53,0.2,0.35525307,0.43326426,0.21148266
5,0.114908196,0.27,0.53,0.2,0.4313156,0.35763764,0.2110467
6,0.043772206,0.27,0.53,0.2,0.33508247,0.46434167,0.20057586
7,0.08021339,0.27,0.53,0.2,0.3903201,0.44534782,0.16433208
8,0.27034685,0.27,0.53,0.2,0.47253692,0.12447965,0.4029833
9,0.093053885,0.27,0.53,0.2,0.39322844,0.39041913,0.21635239
10,0.119742066,0.27,0.53,0.2,0.4496131,0.40876403,0.14162283
11,0.08702469,0.27,0.53,0.2,0.37430114,0.39946297,0.22623594
12,0.10559571,0.27,0.53,0.2,0.42839354,0.4204839,0.15112251
13,0.06920102,0.27,0.53,0.2,0.3738016,0.4306317,0.19556679
14,0.0964877,0.27,0.53,0.2,0.41473153,0.456189,0.1290794
15,0.07647455,0.27,0.53,0.2,0.3847119,0.44024733,0.17504089
16,0.16373499,0.27,0.53,0.2,0.51560247,0.28542465,0.19897282
17,0.16508459,0.27,0.53,0.2,0.43478042,0.28237313,0.2828465
18,0.06593475,0.27,0.53,0.2,0.35805666,0.43109784,0.21084546
19,0.1355808,0.27,0.53,0.2,0.42262965,0.32662877,0.25074157
20,0.090908386,0.27,0.53,0.2,0.39734146,0.3936374,0.20902114
21,0.08506352,0.27,0.53,0.2,0.39759532,0.45996913,0.14243561
22,0.24698691,0.27,0.53,0.2,0.64048034,0.17884472,0.1806749
23,0.28782094,0.27,0.53,0.2,0.6091569,0.098268576,0.2925745
24,0.117398,0.27,0.53,0.2,0.44609702,0.3838741,0.1700289
25,0.08156907,0.27,0.53,0.2,0.39235362,0.43720898,0.17043741
26,0.09456616,0.27,0.53,0.2,0.41184923,0.40647146,0.18167926
27,0.101074964,0.27,0.53,0.2,0.42161247,0.44301435,0.13537319
