bag_id,mae,true_prev_class_0,true_prev_class_1,true_prev_class_2,pred_prev_class_0,pred_prev_class_1,pred_prev_class_2
0,0.07741859,0.27,0.53,0.2,0.38612786,0.50526047,0.108611606
1,0.04132697,0.27,0.53,0.2,0.33199042,0.522938,0.14507146
2,0.081506886,0.27,0.53,0.2,0.39226034,0.51232034,0.095419295
3,0.046196286,0.27,0.53,0.2,0.20070562,0.58611387,0.21318057
4,0.055865724,0.27,0.53,0.2,0.3537986,0.49133754,0.15486385
5,0.025459388,0.27,0.53,0.2,0.23181093,0.5371962,0.23099284
6,0.45501766,0.27,0.53,0.2,0.012432016,0.105041504,0.88252646
7,0.10677645,0.27,0.53,0.2,0.4301647,0.43701085,0.13282442
8,0.23316766,0.27,0.53,0.2,0.062433776,0.38781473,0.5497515
9,0.1512599,0.27,0.53,0.2,0.49688986,0.44181725,0.06129286
10,0.1033202,0.27,0.53,0.2,0.15468477,0.4903349,0.3549803
11,0.11283847,0.27,0.53,0.2,0.4392577,0.4019328,0.15880945
12,0.12641008,0.27,0.53,0.2,0.15360856,0.4567763,0.38961512
13,0.09037768,0.27,0.53,0.2,0.4055665,0.49366945,0.10076399
14,0.064437844,0.27,0.53,0.2,0.36665678,0.5092219,0.124121286
15,0.111436605,0.27,0.53,0.2,0.4371549,0.48045307,0.08239197
16,0.1493921,0.27,0.53,0.2,0.14517711,0.43073472,0.42408815
17,0.22816485,0.27,0.53,0.2,0.13516645,0.32258624,0.54224724
18,0.049040094,0.27,0.53,0.2,0.34356016,0.4594335,0.19700634
19,0.051504258,0.27,0.53,0.2,0.34253484,0.53472155,0.12274364
20,0.13802384,0.27,0.53,0.2,0.47703576,0.3873376,0.13562664
21,0.024164462,0.27,0.53,0.2,0.2939187,0.542328,0.16375333
22,0.29711893,0.27,0.53,0.2,0.12560149,0.2287201,0.6456784
23,0.21295704,0.27,0.53,0.2,0.072861336,0.4077031,0.5194356
24,0.10429475,0.27,0.53,0.2,0.42644218,0.5065296,0.06702826
25,0.041141942,0.27,0.53,0.2,0.2350525,0.50323457,0.2617129
26,0.23560841,0.27,0.53,0.2,0.1594336,0.28715378,0.5534127
27,0.11289058,0.27,0.53,0.2,0.3408255,0.36066416,0.29851043
28,0.058015417,0.27,0.53,0.2,0.33559155,0.55143154,0.112976864
29,0.07091702,0.27,0.53,0.2,0.18651153,0.5071129,0.30637553
30,0.11236638,0.27,0.53,0.2,0.43854958,0.3776361,0.18381429
31,0.03992966,0.27,0.53,0.2,0.32989454,0.49078286,0.17932267
32,0.075607896,0.27,0.53,0.2,0.15679105,0.5297971,0.31341183
33,0.03907353,0.27,0.53,0.2,0.22530252,0.5886103,0.18608722
34,0.19862036,0.27,0.53,0.2,0.052660555,0.4494089,0.49793056
35,0.05258951,0.27,0.53,0.2,0.2939004,0.5849838,0.121115714
36,0.074170925,0.27,0.53,0.2,0.38125643,0.5267347,0.092008896
37,0.0374168,0.27,0.53,0.2,0.29395407,0.5621711,0.1438748
38,0.13383833,0.27,0.53,0.2,0.17265265,0.42658985,0.4007575
39,0.083301485,0.27,0.53,0.2,0.14565282,0.5293949,0.32495221
40,0.13042028,0.27,0.53,0.2,0.46563044,0.450822,0.08354755
41,0.3134279,0.27,0.53,0.2,0.09721482,0.23264338,0.6701418
42,0.4526309,0.27,0.53,0.2,0.010814199,0.110239476,0.87894636
43,0.007706354,0.27,0.53,0.2,0.26521054,0.5232299,0.21155952
44,0.03530781,0.27,0.53,0.2,0.3165873,0.5363744,0.14703828
45,0.20126285,0.27,0.53,0.2,0.099108815,0.39899692,0.5018943
46,0.20365094,0.27,0.53,0.2,0.089893095,0.40463045,0.50547636
47,0.07724332,0.27,0.53,0.2,0.35713458,0.41413498,0.22873041
48,0.3630347,0.27,0.53,0.2,0.024756068,0.23069188,0.744552
49,0.34863195,0.27,0.53,0.2,0.041550905,0.2355012,0.7229479
50,0.09786827,0.27,0.53,0.2,0.41680244,0.5002648,0.08293275
51,0.0931428,0.27,0.53,0.2,0.4097142,0.4799078,0.11037796
52,0.05577938,0.27,0.53,0.2,0.3536691,0.5220624,0.12426851
53,0.17652403,0.27,0.53,0.2,0.12726364,0.40795034,0.46478608
54,0.1218434,0.27,0.53,0.2,0.4527651,0.48633316,0.060901728
55,0.09157761,0.27,0.53,0.2,0.24800694,0.41462663,0.33736643
56,0.056555584,0.27,0.53,0.2,0.18516664,0.6135862,0.20124717
57,0.045155246,0.27,0.53,0.2,0.31582877,0.5519041,0.13226713
58,0.04636624,0.27,0.53,0.2,0.33954936,0.5109786,0.14947203
59,0.018852219,0.27,0.53,0.2,0.29827833,0.5165175,0.18520412
