bag_id,mae,true_prev_class_0,true_prev_class_1,true_prev_class_2,pred_prev_class_0,pred_prev_class_1,pred_prev_class_2
0,0.060504925,0.27,0.53,0.2,0.36075738,0.44727057,0.191972
1,0.13107581,0.27,0.53,0.2,0.45106804,0.33338627,0.21554573
2,0.072683506,0.27,0.53,0.2,0.37902528,0.5274483,0.093526445
3,0.12505154,0.27,0.53,0.2,0.45757735,0.38396564,0.15845707
4,0.059667643,0.27,0.53,0.2,0.35950145,0.44269896,0.19779953
5,0.040539578,0.27,0.53,0.2,0.33080938,0.48024607,0.18894455
6,0.09399436,0.27,0.53,0.2,0.41099158,0.3918662,0.19714224
7,0.12416184,0.27,0.53,0.2,0.4562428,0.3827056,0.16105163
8,0.18258287,0.27,0.53,0.2,0.5438743,0.31529546,0.14083019
9,0.12649624,0.27,0.53,0.2,0.45974436,0.39078975,0.14946589
10,0.06421327,0.27,0.53,0.2,0.36631992,0.45937595,0.17430414
11,0.078168266,0.27,0.53,0.2,0.38725242,0.4376283,0.17511928
12,0.004523888,0.27,0.53,0.2,0.27678582,0.5284177,0.19479641
13,0.05313592,0.27,0.53,0.2,0.34970388,0.4699932,0.18030287
14,0.13180758,0.27,0.53,0.2,0.46771142,0.39551184,0.13677678
15,0.14014116,0.27,0.53,0.2,0.48021176,0.43354788,0.08624036
16,0.10644723,0.27,0.53,0.2,0.4296708,0.49063233,0.07969677
17,0.09935095,0.27,0.53,0.2,0.41902646,0.40650815,0.17446545
18,0.05440171,0.27,0.53,0.2,0.3516026,0.45899603,0.18940142
19,0.12935467,0.27,0.53,0.2,0.46403205,0.3685781,0.16738987
20,0.072558336,0.27,0.53,0.2,0.37883756,0.44615558,0.17500694
21,0.13419992,0.27,0.53,0.2,0.4712999,0.38100514,0.14769495
22,0.08433036,0.27,0.53,0.2,0.39649558,0.40376878,0.19973567
23,0.0525977,0.27,0.53,0.2,0.34889653,0.46950114,0.18160225
24,0.08455712,0.27,0.53,0.2,0.39683565,0.42139307,0.18177117
25,0.16284901,0.27,0.53,0.2,0.5142735,0.32907563,0.15665083
26,0.07502783,0.27,0.53,0.2,0.38254175,0.43905905,0.17839918
27,0.05986893,0.27,0.53,0.2,0.3598034,0.46312535,0.17707123
28,0.036028694,0.27,0.53,0.2,0.32404307,0.51048577,0.16547118
29,0.046415742,0.27,0.53,0.2,0.33962363,0.4835185,0.17685786
30,0.082006715,0.27,0.53,0.2,0.3930101,0.41469672,0.19229321
31,0.16493092,0.27,0.53,0.2,0.508938,0.28260362,0.2084584
32,0.030716976,0.27,0.53,0.2,0.31607547,0.48898512,0.19493939
33,0.14692523,0.27,0.53,0.2,0.49038786,0.3557202,0.15389194
34,0.18301113,0.27,0.53,0.2,0.54451674,0.31126896,0.14421433
35,0.15139951,0.27,0.53,0.2,0.49709928,0.39038533,0.112515375
36,0.12781467,0.27,0.53,0.2,0.46172202,0.40847513,0.12980284
37,0.120123565,0.27,0.53,0.2,0.45018536,0.37117022,0.17864439
38,0.050349366,0.27,0.53,0.2,0.34552407,0.4687575,0.18571843
39,0.06427843,0.27,0.53,0.2,0.36641765,0.44075826,0.19282407
40,0.1304957,0.27,0.53,0.2,0.46574357,0.36330515,0.17095129
41,0.07476782,0.27,0.53,0.2,0.38215175,0.44034946,0.17749879
42,0.045730665,0.27,0.53,0.2,0.33859605,0.4758893,0.18551472
